,Player,year_start,year_end
1944,Trevor Wilson,1991,1996
1945,Kyle Wiltjer,2017,2017
1946,Kennard Winchester,1991,1993
1947,Dontonio Wingfield,1995,1998
1948,Justise Winslow,2016,2018
1949,Trevor Winter,1999,1999
1950,Jeff Withey,2014,2018
1951,Ruben Wolkowyski,2001,2003
1952,Nate Wolters,2014,2018
1953,Christian Wood,2016,2017
1954,Loren Woods,2002,2008
1955,Qyntel Woods,2003,2006
1956,Randy Woods,1993,1996
1957,Metta World Peace,2000,2017
1958,Antoine Wright,2006,2011
1959,Bracey Wright,2006,2007
1960,Brandan Wright,2008,2018
1963,Delon Wright,2016,2018
1964,Dorell Wright,2005,2015
1965,Howard Wright,1991,1993
1966,Julian Wright,2008,2011
1967,Lorenzen Wright,1997,2009
1968,Luther Wright,1994,1994
1969,Sharone Wright,1995,1998
1970,Tony Wroten,2013,2016
1971,A.J. Wynder,1991,1991
