Player,Year,Team, Salary 
Zydrunas Ilgauskas,2001,Cleveland Cavaliers,"  10,130,000 "
Wesley Person,2001,Cleveland Cavaliers,"  5,600,000 "
Chris Gatling,2001,Cleveland Cavaliers,"  5,550,000 "
Brevin Knight,2001,Cleveland Cavaliers,"  4,250,000 "
Lamond Murray,2001,Cleveland Cavaliers,"  3,380,000 "
Cedric Henderson,2001,Cleveland Cavaliers,"  2,700,000 "
Bimbo Coles,2001,Cleveland Cavaliers,"  2,250,000 "
Robert Traylor,2001,Cleveland Cavaliers,"  2,203,080 "
Dalibor Bagaric,2001,Chicago Bulls,"  795,000 "
J.R. Reid,2001,Cleveland Cavaliers,"  2,200,000 "
Clarence Weatherspoon,2001,Cleveland Cavaliers,"  2,100,000 "
Chris Mihm,2001,Cleveland Cavaliers,"  1,923,600 "
Andre Miller,2001,Cleveland Cavaliers,"  1,808,400 "
Trajan Langdon,2001,Cleveland Cavaliers,"  1,500,120 "
Matt Harpring,2001,Cleveland Cavaliers,"  1,244,880 "
Michael Hawkins,2001,Cleveland Cavaliers,"  423,500 "
Gary Grant,2001,Cleveland Cavaliers,"  316,969 "
Michael Finley,2001,Dallas Mavericks,"  8,400,000 "
Shawn Bradley,2001,Dallas Mavericks,"  8,370,000 "
Christian Laettner,2001,Dallas Mavericks,"  6,625,000 "
Steve Nash,2001,Dallas Mavericks,"  5,500,000 "
Loy Vaught,2001,Dallas Mavericks,"  4,812,025 "
Mark Bryant,2001,Cleveland Cavaliers,"  2,200,000 "
Ray Allen,2001,Milwaukee Bucks,"  10,130,000 "
Jim Jackson,2001,Atlanta Hawks,"  2,330,000 "
Glenn Robinson,2001,Milwaukee Bucks,"  8,120,000 "
Terry Porter,2001,San Antonio Spurs,"  2,200,000 "
Jaren Jackson,2001,San Antonio Spurs,"  1,750,000 "
Danny Ferry,2001,San Antonio Spurs,"  1,200,000 "
Shawnelle Scott,2001,San Antonio Spurs,"  548,500 "
Derrick Dial,2001,San Antonio Spurs,"  423,500 "
Chris Carrawell,2001,San Antonio Spurs,"  316,969 "
Ira Newble,2001,San Antonio Spurs,"  316,969 "
Patrick Ewing,2001,Seattle SuperSonics,"  14,000,000 "
Gary Payton,2001,Seattle SuperSonics,"  12,200,000 "
Vin Baker,2001,Seattle SuperSonics,"  10,130,000 "
Brent Barry,2001,Seattle SuperSonics,"  4,320,000 "
Rashard Lewis,2001,Seattle SuperSonics,"  3,920,000 "
Jelani McCoy,2001,Seattle SuperSonics,"  1,110,000 "
Desmond Mason,2001,Seattle SuperSonics,"  1,074,720 "
David Wingate,2001,Seattle SuperSonics,"  1,000,000 "
Pervis Ellison,2001,Seattle SuperSonics,"  1,000,000 "
Ruben Patterson,2001,Seattle SuperSonics,"  990,000 "
Emanual Davis,2001,Seattle SuperSonics,"  610,000 "
Shammond Williams,2001,Seattle SuperSonics,"  550,000 "
Olumide Oyedeji,2001,Seattle SuperSonics,"  316,969 "
Ruben Wolkowyski,2001,Seattle SuperSonics,"  316,969 "
Charles Oakley,2001,Toronto Raptors,"  5,760,000 "
Antonio Davis,2001,Toronto Raptors,"  5,500,000 "
Corliss Williamson,2001,Toronto Raptors,"  3,940,000 "
Mark Jackson,2001,Toronto Raptors,"  3,570,000 "
Steve Kerr,2001,San Antonio Spurs,"  2,200,000 "
Derek Anderson,2001,San Antonio Spurs,"  2,250,000 "
Malik Rose,2001,San Antonio Spurs,"  2,570,000 "
Antonio Daniels,2001,San Antonio Spurs,"  2,820,000 "
Will Perdue,2001,Portland Trailblazers,"  2,250,000 "
Detlef Schrempf,2001,Portland Trailblazers,"  2,200,000 "
Bonzi Wells,2001,Portland Trailblazers,"  1,528,440 "
Gary Grant,2001,Portland Trailblazers,"  1,000,000 "
Stacey Augmon,2001,Portland Trailblazers,"  923,500 "
Erick Barkley,2001,Portland Trailblazers,"  712,200 "
Antonio Harvey,2001,Portland Trailblazers,"  611,000 "
Chris Webber,2001,Sacramento Kings,"  12,000,000 "
Vlade Divac,2001,Sacramento Kings,"  9,640,000 "
Scot Pollard,2001,Sacramento Kings,"  3,920,000 "
Nick Anderson,2001,Sacramento Kings,"  3,750,000 "
Doug Christie,2001,Sacramento Kings,"  3,140,000 "
Michael Stewart,2001,Toronto Raptors,"  3,520,000 "
Jon Barry,2001,Sacramento Kings,"  2,730,000 "
Bobby Jackson,2001,Sacramento Kings,"  2,250,000 "
Jason Williams,2001,Sacramento Kings,"  2,011,080 "
Peja Stojakovic,2001,Sacramento Kings,"  1,480,000 "
Hedo Turkoglu,2001,Sacramento Kings,"  1,131,240 "
Darrick Martin,2001,Sacramento Kings,"  673,500 "
Roy Rogers,2001,Sacramento Kings,"  523,500 "
Jabari Smith,2001,Sacramento Kings,"  316,969 "
David Robinson,2001,San Antonio Spurs,"  14,700,000 "
Tim Duncan,2001,San Antonio Spurs,"  9,660,000 "
Avery Johnson,2001,San Antonio Spurs,"  8,000,000 "
Sean Elliott,2001,San Antonio Spurs,"  5,300,000 "
Samaki Walker,2001,San Antonio Spurs,"  2,960,000 "
Lawrence Funderburke,2001,Sacramento Kings,"  2,700,000 "
Kevin Willis,2001,Toronto Raptors,"  2,870,000 "
Vince Carter,2001,Toronto Raptors,"  2,425,440 "
Alvin Williams,2001,Toronto Raptors,"  2,100,000 "
Othella Harrington,2001,Vancouver Grizzlies,"  2,250,000 "
Grant Long,2001,Vancouver Grizzlies,"  2,200,000 "
Tony Massenburg,2001,Vancouver Grizzlies,"  1,360,000 "
Michael Dickerson,2001,Vancouver Grizzlies,"  1,310,400 "
Kevin Edwards,2001,Vancouver Grizzlies,"  1,000,000 "
Mahmoud Abdul-Rauf,2001,Vancouver Grizzlies,"  798,500 "
Damon Jones,2001,Vancouver Grizzlies,"  710,000 "
William Cunningham,2001,Vancouver Grizzlies,"  498,500 "
Juwan Howard,2001,Washington Wizards,"  16,875,000 "
Mitch Richmond,2001,Washington Wizards,"  10,000,000 "
Rod Strickland,2001,Washington Wizards,"  10,000,000 "
Jahidi White,2001,Washington Wizards,"  3,922,000 "
Brent Price,2001,Vancouver Grizzlies,"  2,880,000 "
